<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20200101;000000;1.1217200;1.1217400;1.1207900;1.1211000;12821
20200101;020000;1.1212300;1.1212300;1.1211700;1.1211700;2
20200101;200000;1.1215400;1.1215400;1.1215400;1.1215400;1
20200101;210000;1.1208000;1.1221400;1.1208000;1.1212400;63
20200101;220000;1.1213000;1.1215900;1.1212000;1.1212700;70
20200101;230000;1.1213000;1.1218000;1.1210000;1.1213400;56
20200102;000000;1.1212300;1.1213500;1.1208000;1.1212000;64
20200102;010000;1.1211700;1.1217000;1.1208100;1.1214500;8288
20200102;020000;1.1214500;1.1222100;1.1212000;1.1218800;18967
20200102;030000;1.1218800;1.1219100;1.1213000;1.1218100;16833
20200102;040000;1.1218300;1.1224400;1.1215000;1.1220800;27891
20200102;050000;1.1220800;1.1224500;1.1217000;1.1222300;20369
20200102;060000;1.1222100;1.1223200;1.1211000;1.1213000;23751
20200102;070000;1.1213100;1.1214300;1.1199000;1.1200900;28572
20200102;080000;1.1201000;1.1204400;1.1199000;1.1204300;26986
20200102;090000;1.1204300;1.1207800;1.1202000;1.1207800;27902
20200102;100000;1.1207800;1.1210300;1.1203000;1.1209300;75213
20200102;110000;1.1209900;1.1213800;1.1204000;1.1212000;82955
20200102;120000;1.1211000;1.1214200;1.1199000;1.1203100;67104
20200102;130000;1.1202800;1.1203900;1.1191000;1.1198200;66005
20200102;140000;1.1197300;1.1202200;1.1182000;1.1184700;77919
20200102;150000;1.1184600;1.1194600;1.1181000;1.1193000;70434
20200102;160000;1.1192900;1.1197200;1.1188600;1.1196100;81361
20200102;170000;1.1196300;1.1196500;1.1168000;1.1174000;119950
20200102;180000;1.1174000;1.1202400;1.1169000;1.1200400;138178
20200102;190000;1.1200600;1.1203200;1.1164000;1.1166200;119017
20200102;200000;1.1166200;1.1172000;1.1162000;1.1169800;68045
20200102;210000;1.1169700;1.1172300;1.1162000;1.1170200;60484
20200102;220000;1.1170200;1.1170400;1.1163000;1.1166100;52908
20200102;230000;1.1166100;1.1171700;1.1164000;1.1169000;47816
20200103;000000;1.1169200;1.1173500;1.1167000;1.1172000;19047
20200103;010000;1.1171900;1.1173000;1.1167500;1.1171300;10607
20200103;020000;1.1171300;1.1173600;1.1168000;1.1170600;15299
20200103;030000;1.1170700;1.1176100;1.1168000;1.1174000;24708
20200103;040000;1.1175400;1.1178500;1.1171000;1.1173500;43536
20200103;050000;1.1173700;1.1177500;1.1170000;1.1172500;67691
20200103;060000;1.1172500;1.1174000;1.1168000;1.1172100;45270
20200103;070000;1.1172000;1.1175000;1.1167000;1.1170000;32996
20200103;080000;1.1169800;1.1170600;1.1163000;1.1166200;49987
20200103;090000;1.1166400;1.1169700;1.1163000;1.1169100;40177
20200103;100000;1.1169100;1.1171600;1.1150000;1.1153100;117361
20200103;110000;1.1153100;1.1160500;1.1149000;1.1151100;107214
20200103;120000;1.1151200;1.1152300;1.1138000;1.1140000;95458
20200103;130000;1.1140000;1.1143500;1.1129000;1.1136100;105351
20200103;140000;1.1135900;1.1136100;1.1123000;1.1129000;88950
20200103;150000;1.1129700;1.1142600;1.1127000;1.1138800;81174
20200103;160000;1.1138900;1.1148800;1.1136000;1.1138000;85650
20200103;170000;1.1138100;1.1154100;1.1134000;1.1152200;93533
20200103;180000;1.1152000;1.1167500;1.1152000;1.1163400;131168
20200103;190000;1.1163400;1.1180000;1.1161000;1.1172000;94753
20200103;200000;1.1171800;1.1174100;1.1166000;1.1172100;57429
20200103;210000;1.1172100;1.1174000;1.1164000;1.1166500;67192
20200103;220000;1.1166700;1.1168200;1.1160000;1.1167400;73669
20200103;230000;1.1167400;1.1167400;1.1158000;1.1161400;39773
